County,Human.Cases,Dead.Birds,Mosquito.Samples,Sentinel.Chickens
Alameda,0,1,0,0
Alpine,0,0,0,0
Amador,0,0,0,0
Butte,3,5,0,1
Calaveras,0,0,0,0
Colusa,0,1,0,0
Contra Costa,0,7,3,0
Del Norte,0,0,0,0
El Dorado,0,0,0,0
Fresno,1,1,12,0
Glenn,0,2,0,0
Humboldt,0,0,0,0
Imperial,0,0,0,5
Inyo,0,0,0,0
Kern,2,0,42,2
Kings,0,0,16,0
Lake,0,2,3,0
Lassen,0,0,0,0
Los Angeles,0,10,31,21
Madera,0,0,1,0
Marin,0,0,0,0
Mariposa,0,0,0,0
Mendocino,0,0,0,0
Merced,2,7,1,0
Modoc,0,0,0,0
Mono,0,0,0,0
Monterey,0,0,0,0
Napa,0,0,0,0
Nevada,0,0,0,0
Orange,1,18,3,0
Placer,2,10,8,0
Plumas,0,0,0,0
Riverside,0,0,13,14
Sacramento,1,17,24,0
San Benito,0,0,0,0
San Bernardino,1,4,6,6
San Diego,0,0,0,0
San Francisco,0,0,0,0
San Joaquin,0,1,25,0
San Luis Obispo,0,0,0,0
San Mateo,0,0,0,0
Santa Barbara,0,0,0,0
Santa Clara,0,1,1,0
Santa Cruz,0,0,0,0
Shasta,0,6,4,0
Sierra,0,0,0,0
Siskiyou,0,0,0,0
Solano,0,0,0,0
Sonoma,0,0,0,0
Stanislaus,2,3,23,0
Sutter,0,7,0,0
Tehama,0,2,0,0
Trinity,0,0,0,0
Tulare,0,0,15,0
Tuolumne,0,0,0,0
Ventura,0,5,0,0
Yolo,0,5,27,0
Yuba,0,1,2,0
