County;No. mosquitoes tested;No. mosquito pools tested;WNV positive pools;WNV Minimum Infection Rate, by PCR only
Alameda;3,958;118;0;0.00
Alpine;0;NA;NA;NA
Amador;0;NA;NA;NA
Butte;5,771;121;7;1.21
Calaveras;0;NA;NA;NA
Colusa;0;NA;NA;NA
Contra Costa;13,107;370;1;0.08
Del Norte;0;NA;NA;NA
El Dorado;0;NA;NA;NA
Fresno;36,372;959;130;3.57
Glenn;1,314;27;0;0.00
Humboldt;0;NA;NA;NA
Imperial;3,633;74;0;0.00
Inyo;1,772;40;0;0.00
Kern;62,928;1,625;277;4.40
Kings;28,013;784;65;2.32
Lake;13,556;340;3;0.22
Lassen;0;NA;NA;NA
Los Angeles;154,015;4,137;57;0.37
Madera;2,655;87;9;3.39
Marin;434;10;0;0.00
Mariposa;0;NA;NA;NA
Mendocino;0;NA;NA;NA
Merced;9,419;252;9;0.96
Modoc;0;NA;NA;NA
Mono;0;NA;NA;NA
Monterey;0;NA;NA;NA
Napa;1,334;45;0;0.00
Nevada;0;NA;NA;NA
Orange;0;NA;NA;NA
Placer;36,304;1,496;36;0.99
Plumas;0;NA;NA;NA
Riverside;171,366;4,314;71;0.41
Sacramento;63,627;4,779;205;3.22
San Benito;0;NA;NA;NA
San Bernardino;24,639;1,085;27;1.10
San Diego;4,640;152;1;0.22
San Francisco;0;NA;NA;NA
San Joaquin;685;18;1;1.46
San Luis Obispo;0;NA;NA;NA
San Mateo;58;2;0;0.00
Santa Barbara;14,707;338;0;0.00
Santa Clara;1,376;209;0;0.00
Santa Cruz;543;12;0;0.00
Shasta;9,075;324;0;0.00
Sierra;0;NA;NA;NA
Siskiyou;0;NA;NA;NA
Solano;1,352;30;1;0.74
Sonoma;2,619;68;0;0.00
Stanislaus;47,137;1,241;86;1.82
Sutter;13,606;342;26;1.91
Tehama;0;NA;NA;NA
Tulare;44,199;1,100;168;3.80
Tuolumne;0;NA;NA;NA
Ventura;973;23;0;0.00
Yolo;24,146;1,265;11;0.46
Yuba;2,381;69;2;0.84
Total;801,714;25,856;1,193;1.49
