County;No. mosquito pools tested;No. mosquitoes;WNV positive pools;WNV Minimum Infection Rate
Alameda;60;1,835;0;0.0
Alpine;NA;0;NA;NA
Amador;NA;0;NA;NA
Butte;147;7,069;33;4.7
Calaveras;NA;0;NA;NA
Colusa;NA;0;NA;NA
Contra Costa;453;12,729;13;1.0
Del Norte;NA;0;NA;NA
El Dorado;NA;0;NA;NA
Fresno;836;30,139;66;2.2
Glenn;42;2,100;16;7.6
Humboldt;NA;0;NA;NA
Imperial;NA;0;NA;NA
Inyo;2;88;0;0.0
Kern;804;3,299;181;5.4
Kings;426;12,593;78;6.2
Lake;427;15,223;62;4.1
Lassen;NA;0;NA;NA
Los Angeles;3,155;122,741;417;3.4
Madera;88;1,849;16;8.7
Marin;534;2,764;0;0.0
Mariposa;NA;0;NA;NA
Mendocino;NA;0;NA;NA
Merced;170;2,686;8;3.0
Modoc;NA;0;NA;NA
Mono;NA;0;NA;NA
Monterey;16;720;0;0.0
Napa;141;2,401;0;0.0
Nevada;NA;0;NA;NA
Orange;1,803;40,892;48;1.2
Placer;1,967;31,705;89;2.8
Plumas;NA;0;NA;NA
Riverside;3,004;106,139;81;0.8
Sacramento;4,558;75,458;384;5.1
San Benito;NA;0;NA;NA
San Bernardino;2,262;55,468;249;4.5
San Diego;202;7,808;0;0.0
San Francisco;7;183;0;0.0
San Joaquin;1,676;35,643;163;4.6
San Luis Obispo;38;1,454;1;0.7
San Mateo;174;3101;0;0.0
Santa Barbara;401;17,47;4;0;0.0
Santa Clara;631;9,719;25;2.6
Santa Cruz;54;1,228;1;0.8
Shasta;262;7,153;15;2.1
Sierra;NA;0;NA;NA
Siskiyou;NA;0;NA;NA
Solano;75;2,879;1;0.3;
Sonoma;908;9,836;5;0.5
Stanislaus;1,523;49,438;158;3.2
Sutter;336;10,722;61;5.7
Tehama;NA;0;NA;NA
Trinity;NA;0;NA;NA
Tulare;653;20,036;97;4.8
Tuolumne;NA;0;NA;NA
Ventura;34;1,534;0;0.0
Yolo;1,997;51,921;246;4.7
Yuba;112;3,017;14;4.6
Total;29,978;791,044;2,528;3.2
