County;No. mosquitoes;No. mosquito pools tested;WNV positive pools;WNV Minimum Infection Rate
Alameda;2,573;214;16;6.2
Alpine;0;NA;NA;NA
Amador;0;NA;NA;NA
Butte;9,391;196;40;4.3
Calaveras;0;NA;NA;NA
Colusa;350;7;1;2.9
Contra Costa;17,181;626;25;1.5
Del Norte;0;NA;NA;NA
El Dorado;0;NA;NA;NA
Fresno;31,782;794;138;4.3
Glenn;2,195;45;8;3.6
Humboldt;0;NA;NA;NA
Imperial;0;NA;NA;NA
Inyo;0;NA;NA;NA
Kern;27,970;733;111;4.0
Kings;14,766;497;150;10.2
Lake;28,028;760;71;2.5
Lassen;0;NA;NA;NA
Los Angeles;93,060;2,627;356;3.8
Madera;5,891;212;37;6.3
Marin;2,723;199;3;1.1
Mariposa;0;NA;NA;NA
Mendocino;0;NA;NA;NA
Merced;4,979;234;11;2.2
Modoc;0;NA;NA;NA
Mono;0;NA;NA;NA
Monterey;1,188;26;0;0.0
Napa;3,108;117;0;0.0
Nevada;0;NA;NA;NA
Orange;67,084;2,649;499;7.4
Placer;29,283;1,807;77;2.6
Plumas;0;NA;NA;NA
Riverside;107,890;3,132;91;0.8
Sacramento;93,068;5,350;487;5.2
San Benito;0;NA;NA;NA
San Bernardino;46,787;1,956;97;2.1
San Diego;2,643;89;1;0.4
San Francisco;196;9;0;0.0
San Joaquin;55,214;2,250;239;4.3
San Luis Obispo;622;18;0;0.0
San Mateo;3517;435;15;4.3
Santa Barbara;12,451;300;0;0.0
Santa Clara;3,911;436;30;7.7
Santa Cruz;5,724;267;0;0.0
Shasta;11,633;508;33;2.8
Sierra;0;NA;NA;NA
Siskiyou;0;NA;NA;NA
Solano;2,336;111;11;4.7
Sonoma;14,292;735;9;0.6
Stanislaus;55,897;1,696;176;3.1
Sutter;10,180;275;52;5.1
Tehama;0;NA;NA;NA
Trinity;0;NA;NA;NA
Tulare;21,611;817;311;14.4
Tuolumne;0;NA;NA;NA
Ventura;2,099;45;0;0.0
Yolo;50,659;2,196;221;4.4
Yuba;3,330;117;24;7.2
Total;845,612;32,485;3,340;3.9
