County;No. mosquitoes tested;No. mosquito pools tested;WNV positive pools;WNV Minimum Infection Rate
Alameda;4,824;388;16;3.3
Alpine;0;NA;NA;NA
Amador;0;NA;NA;NA
Butte;18,604;392;94;5.1
Calaveras;0;NA;NA;NA
Colusa;0;NA;NA;NA
Contra Costa;20,942;603;8;0.4
Del Norte;0;NA;NA;NA
El Dorado;0;NA;NA;NA
Fresno;38,564;928;108;2.8
Glenn;3,143;63;21;6.7
Humboldt;0;NA;NA;NA
Imperial;0;NA;NA;NA
Inyo;0;NA;NA;NA
Kern;22,038;584;135;6.1
Kings;19,825;549;144;7.3
Lake;17,100;660;31;1.8
Lassen;0;NA;NA;NA
Los Angeles;87,141;2,566;294;3.4
Madera;8,782;349;21;2.4
Marin;1,800;105;0;0.0
Mariposa;0;NA;NA;NA
Mendocino;0;NA;NA;NA
Merced;8,723;374;8;0.9
Modoc;0;NA;NA;NA
Mono;0;NA;NA;NA
Monterey;0;NA;NA;NA
Napa;4,516;214;0;0.0
Nevada;0;NA;NA;NA
Orange;159,997;5,179;576;3.6
Placer;32,618;2,103;52;1.6
Plumas;0;NA;NA;NA
Riverside;145,746;4,720;158;1.1
Sacramento;70,098;4,568;164;2.3
San Benito;0;NA;NA;NA
San Bernardino;51,882;2,277;291;5.6
San Diego;5,256;352;46;8.8
San Francisco;75;7;0;0.0
San Joaquin;77,933;3,147;208;2.7
San Luis Obispo;192;5;0;0.0
San Mateo;1,125;204;5;4.4
Santa Barbara;8,885;222;1;0.1
Santa Clara;8,429;620;20;2.4
Santa Cruz;3,284;186;0;0.0
Shasta;16,522;551;48;2.9
Sierra;0;NA;NA;NA
Siskiyou;0;NA;NA;NA
Solano;6,935;207;6;0.9
Sonoma;15,205;595;12;0.8
Stanislaus;83,830;2,285;84;1.0
Sutter;9,503;249;54;5.7
Tehama;0;NA;NA;NA
Trinity;0;NA;NA;NA
Tulare;57,449;1,853;528;9.2
Tuolumne;0;NA;NA;NA
Ventura;1,327;32;0;0.0
Yolo;57,602;2,437;173;3.0
Yuba;4,854;137;23;4.7
Total;1,074,749;39,711;3,329;3.1
