County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,1,41,9,-
Alpine,-,-,-,-
Amador,-,2,-,-
Butte,31,40,1,49
Calaveras,-,2,2,-
Colusa,3,9,-,1
Contra Costa,8,88,18,25
Del Norte,-,-,-,-
El Dorado,2,19,2,-
Fresno,11,72,40,37
Glenn,12,35,1,10
Humboldt,-,2,-,-
Imperial,1,-,14,56
Inyo,-,8,3,-
Kern,49,24,230,92
Kings,1,13,34,25
Lake,2,8,12,6
Lassen,-,3,3,-
Los Angeles,12,92,77,38
Madera,-,3,4,9
Marin,1,9,3,2
Mariposa,-,1,-,-
Mendocino,-,7,-,-
Merced,4,41,6,15
Modoc,2,2,-,-
Mono,1,1,-,-
Monterey,-,5,-,-
Napa,1,8,-,-
Nevada,1,4,-,-
Orange,6,48,14,-
Placer,8,12,23,5
Plumas,-,-,-,-
Riverside,4,3,31,26
Sacramento,15,87,35,7
San Benito,-,1,-,-
San Bernardino,3,33,25,25
San Diego,1,19,-,-
San Francisco,-,3,-,-
San Joaquin,8,48,39,19
San Luis Obispo,1,14,-,-
San Mateo,-,7,-,-
Santa Barbara,-,19,1,-
Santa Clara,5,222,9,1
Santa Cruz,-,7,-,-
Shasta,4,88,7,4
Sierra,-,-,-,-
Siskiyou,-,1,-,-
Solano,6,16,1,22
Sonoma,-,19,2,1
Stanislaus,11,72,54,45
Sutter,12,2,55,36
Tehama,3,12,-,3
Trinity,-,1,-,-
Tulare,8,14,8,30
Tuolumne,-,1,-,-
Ventura,3,60,2,1
Yolo,26,52,63,10
Yuba,5,2,6,9
