"Disease","County","Year","Sex","Count","Population","Rate","CI.lower","CI.upper","Unstable"
"Coccidioidomycosis","California",2001,"Total",1490,34514777,4.317,4.101,4.542," "
"Coccidioidomycosis","California",2001,"Female",527,17340743,3.039,2.785,3.31," "
"Coccidioidomycosis","California",2001,"Male",955,17174034,5.561,5.214,5.925," "
"Coccidioidomycosis","California",2002,"Total",1612,34940334,4.614,4.391,4.844," "
"Coccidioidomycosis","California",2002,"Female",615,17555714,3.503,3.232,3.791," "
"Coccidioidomycosis","California",2002,"Male",986,17384620,5.672,5.323,6.037," "
"Coccidioidomycosis","California",2003,"Total",2039,35390986,5.761,5.514,6.017," "
"Coccidioidomycosis","California",2003,"Female",774,17783924,4.352,4.051,4.67," "
"Coccidioidomycosis","California",2003,"Male",1252,17607062,7.111,6.722,7.516," "
"Coccidioidomycosis","California",2004,"Total",2537,35754827,7.096,6.822,7.377," "
"Coccidioidomycosis","California",2004,"Female",996,17969405,5.543,5.204,5.898," "
"Coccidioidomycosis","California",2004,"Male",1535,17785422,8.631,8.204,9.073," "
"Coccidioidomycosis","California",2005,"Total",2838,35987637,7.886,7.599,8.182," "
"Coccidioidomycosis","California",2005,"Female",906,18088355,5.009,4.688,5.346," "
"Coccidioidomycosis","California",2005,"Male",1780,17899282,9.945,9.488,10.417," "
"Coccidioidomycosis","California",2006,"Total",3032,36248870,8.364,8.069,8.668," "
"Coccidioidomycosis","California",2006,"Female",826,18220429,4.533,4.229,4.853," "
"Coccidioidomycosis","California",2006,"Male",2198,18028441,12.192,11.687,12.712," "
"Coccidioidomycosis","California",2007,"Total",2943,36554575,8.051,7.763,8.347," "
"Coccidioidomycosis","California",2007,"Female",1026,18373955,5.584,5.248,5.936," "
"Coccidioidomycosis","California",2007,"Male",1898,18180620,10.44,9.975,10.92," "
"Coccidioidomycosis","California",2008,"Total",2383,36858270,6.465,6.208,6.73," "
"Coccidioidomycosis","California",2008,"Female",831,18526603,4.485,4.186,4.801," "
"Coccidioidomycosis","California",2008,"Male",1545,18331667,8.428,8.013,8.859," "
"Coccidioidomycosis","California",2009,"Total",2395,37079253,6.459,6.203,6.723," "
"Coccidioidomycosis","California",2009,"Female",739,18634031,3.966,3.685,4.262," "
"Coccidioidomycosis","California",2009,"Male",1647,18445222,8.929,8.503,9.371," "
"Coccidioidomycosis","California",2010,"Total",4431,37311439,11.876,11.529,12.231," "
"Coccidioidomycosis","California",2010,"Female",1468,18752748,7.828,7.433,8.239," "
"Coccidioidomycosis","California",2010,"Male",2948,18558691,15.885,15.316,16.469," "
"Coccidioidomycosis","California",2011,"Total",5217,37572186,13.885,13.511,14.267," "
