"County","Year","Cases"
"Alameda","2006",1
"Amador","2006",0
"Butte","2006",31
"Calaveras","2006",0
"Colusa","2006",3
"Contra Costa","2006",8
"El Dorado","2006",2
"Fresno","2006",11
"Glenn","2006",12
"Imperial","2006",1
"Kern","2006",49
"Kings","2006",1
"Lake","2006",2
"Los Angeles","2006",12
"Madera","2006",0
"Marin","2006",1
"Mendocino","2006",0
"Merced","2006",4
"Modoc","2006",2
"Mono","2006",1
"Monterey","2006",0
"Napa","2006",1
"Nevada","2006",1
"Orange","2006",6
"Placer","2006",8
"Riverside","2006",4
"Sacramento","2006",15
"San Bernardino","2006",3
"San Diego","2006",1
"San Francisco","2006",0
"San Joaquin","2006",8
"San Luis Obispo","2006",1
"Santa Barbara","2006",0
"Santa Clara","2006",5
"Santa Cruz","2006",0
"Shasta","2006",4
"Siskiyou","2006",0
"Solano","2006",6
"Sonoma","2006",0
"Stanislaus","2006",11
"Sutter","2006",12
"Tehama","2006",3
"Tulare","2006",8
"Ventura","2006",3
"Yolo","2006",26
"Yuba","2006",5
