"County","Year","Cases"
"Alameda","total",6
"Amador","total",2
"Butte","total",191
"Calaveras","total",1
"Colusa","total",17
"Contra Costa","total",46
"El Dorado","total",7
"Fresno","total",171
"Glenn","total",74
"Imperial","total",7
"Kern","total",332
"Kings","total",30
"Lake","total",7
"Los Angeles","total",1295
"Madera","total",31
"Marin","total",4
"Mendocino","total",5
"Merced","total",30
"Modoc","total",2
"Mono","total",1
"Monterey","total",3
"Napa","total",3
"Nevada","total",3
"Orange","total",539
"Placer","total",54
"Riverside","total",298
"Sacramento","total",147
"San Bernardino","total",181
"San Diego","total",129
"San Francisco","total",3
"San Joaquin","total",96
"San Luis Obispo","total",1
"Santa Barbara","total",3
"Santa Clara","total",32
"Santa Cruz","total",1
"Shasta","total",22
"Siskiyou","total",2
"Solano","total",20
"Sonoma","total",1
"Stanislaus","total",201
"Sutter","total",55
"Tehama","total",33
"Tulare","total",106
"Ventura","total",22
"Yolo","total",83
"Yuba","total",48
