"County","Year","Cases"
"Alameda","2006",1
"Amador","2006",0
"Butte","2006",31
"Calaveras","2006",0
"Colusa","2006",3
"Contra Costa","2006",8
"El Dorado","2006",2
"Fresno","2006",11
"Glenn","2006",12
"Imperial","2006",1
"Kern","2006",49
"Kings","2006",1
"Lake","2006",2
"Los Angeles","2006",12
"Madera","2006",0
"Marin","2006",1
"Mendocino","2006",0
"Merced","2006",4
"Modoc","2006",2
"Mono","2006",1
"Monterey","2006",0
"Napa","2006",1
"Nevada","2006",1
"Orange","2006",6
"Placer","2006",8
"Riverside","2006",4
"Sacramento","2006",15
"San Bernardino","2006",3
"San Diego","2006",1
"San Francisco","2006",0
"San Joaquin","2006",8
"San Luis Obispo","2006",1
"Santa Barbara","2006",0
"Santa Clara","2006",5
"Santa Cruz","2006",0
"Shasta","2006",4
"Siskiyou","2006",0
"Solano","2006",6
"Sonoma","2006",0
"Stanislaus","2006",11
"Sutter","2006",12
"Tehama","2006",3
"Tulare","2006",8
"Ventura","2006",3
"Yolo","2006",26
"Yuba","2006",5
"Alameda","2007",0
"Amador","2007",0
"Butte","2007",16
"Calaveras","2007",0
"Colusa","2007",2
"Contra Costa","2007",3
"El Dorado","2007",0
"Fresno","2007",17
"Glenn","2007",7
"Imperial","2007",3
"Kern","2007",140
"Kings","2007",7
"Lake","2007",0
"Los Angeles","2007",36
"Madera","2007",2
"Marin","2007",0
"Mendocino","2007",2
"Merced","2007",4
"Modoc","2007",0
"Mono","2007",0
"Monterey","2007",0
"Napa","2007",1
"Nevada","2007",0
"Orange","2007",9
"Placer","2007",4
"Riverside","2007",17
"Sacramento","2007",25
"San Bernardino","2007",4
"San Diego","2007",15
"San Francisco","2007",0
"San Joaquin","2007",10
"San Luis Obispo","2007",0
"Santa Barbara","2007",0
"Santa Clara","2007",4
"Santa Cruz","2007",0
"Shasta","2007",9
"Siskiyou","2007",0
"Solano","2007",1
"Sonoma","2007",1
"Stanislaus","2007",21
"Sutter","2007",3
"Tehama","2007",4
"Tulare","2007",10
"Ventura","2007",1
"Yolo","2007",2
"Yuba","2007",0
"Alameda","2008",1
"Amador","2008",0
"Butte","2008",6
"Calaveras","2008",1
"Colusa","2008",1
"Contra Costa","2008",4
"El Dorado","2008",1
"Fresno","2008",3
"Glenn","2008",1
"Imperial","2008",0
"Kern","2008",2
"Kings","2008",2
"Lake","2008",0
"Los Angeles","2008",156
"Madera","2008",0
"Marin","2008",0
"Mendocino","2008",0
"Merced","2008",1
"Modoc","2008",0
"Mono","2008",0
"Monterey","2008",0
"Napa","2008",0
"Nevada","2008",0
"Orange","2008",71
"Placer","2008",6
"Riverside","2008",62
"Sacramento","2008",13
"San Bernardino","2008",36
"San Diego","2008",35
"San Francisco","2008",0
"San Joaquin","2008",12
"San Luis Obispo","2008",0
"Santa Barbara","2008",1
"Santa Clara","2008",1
"Santa Cruz","2008",0
"Shasta","2008",1
"Siskiyou","2008",0
"Solano","2008",1
"Sonoma","2008",0
"Stanislaus","2008",17
"Sutter","2008",0
"Tehama","2008",4
"Tulare","2008",5
"Ventura","2008",0
"Yolo","2008",1
"Yuba","2008",0
"Alameda","2009",0
"Amador","2009",0
"Butte","2009",2
"Calaveras","2009",0
"Colusa","2009",0
"Contra Costa","2009",5
"El Dorado","2009",1
"Fresno","2009",13
"Glenn","2009",0
"Imperial","2009",0
"Kern","2009",19
"Kings","2009",3
"Lake","2009",0
"Los Angeles","2009",20
"Madera","2009",1
"Marin","2009",0
"Mendocino","2009",0
"Merced","2009",4
"Modoc","2009",0
"Mono","2009",0
"Monterey","2009",1
"Napa","2009",0
"Nevada","2009",0
"Orange","2009",4
"Placer","2009",0
"Riverside","2009",3
"Sacramento","2009",0
"San Bernardino","2009",2
"San Diego","2009",4
"San Francisco","2009",0
"San Joaquin","2009",10
"San Luis Obispo","2009",0
"Santa Barbara","2009",0
"Santa Clara","2009",0
"Santa Cruz","2009",0
"Shasta","2009",0
"Siskiyou","2009",0
"Solano","2009",0
"Sonoma","2009",0
"Stanislaus","2009",13
"Sutter","2009",0
"Tehama","2009",0
"Tulare","2009",4
"Ventura","2009",0
"Yolo","2009",2
"Yuba","2009",1
"Alameda","2010",1
"Amador","2010",0
"Butte","2010",1
"Calaveras","2010",0
"Colusa","2010",0
"Contra Costa","2010",4
"El Dorado","2010",0
"Fresno","2010",23
"Glenn","2010",2
"Imperial","2010",0
"Kern","2010",15
"Kings","2010",1
"Lake","2010",0
"Los Angeles","2010",4
"Madera","2010",7
"Marin","2010",0
"Mendocino","2010",0
"Merced","2010",1
"Modoc","2010",0
"Mono","2010",0
"Monterey","2010",0
"Napa","2010",0
"Nevada","2010",0
"Orange","2010",1
"Placer","2010",3
"Riverside","2010",0
"Sacramento","2010",12
"San Bernardino","2010",5
"San Diego","2010",0
"San Francisco","2010",1
"San Joaquin","2010",6
"San Luis Obispo","2010",0
"Santa Barbara","2010",0
"Santa Clara","2010",0
"Santa Cruz","2010",0
"Shasta","2010",0
"Siskiyou","2010",0
"Solano","2010",0
"Sonoma","2010",0
"Stanislaus","2010",12
"Sutter","2010",0
"Tehama","2010",0
"Tulare","2010",12
"Ventura","2010",0
"Yolo","2010",0
"Yuba","2010",0
"Alameda","2011",0
"Amador","2011",1
"Butte","2011",3
"Calaveras","2011",0
"Colusa","2011",0
"Contra Costa","2011",3
"El Dorado","2011",1
"Fresno","2011",9
"Glenn","2011",1
"Imperial","2011",0
"Kern","2011",18
"Kings","2011",1
"Lake","2011",0
"Los Angeles","2011",58
"Madera","2011",2
"Marin","2011",0
"Mendocino","2011",0
"Merced","2011",1
"Modoc","2011",0
"Mono","2011",0
"Monterey","2011",0
"Napa","2011",0
"Nevada","2011",0
"Orange","2011",10
"Placer","2011",1
"Riverside","2011",7
"Sacramento","2011",4
"San Bernardino","2011",4
"San Diego","2011",0
"San Francisco","2011",0
"San Joaquin","2011",5
"San Luis Obispo","2011",0
"Santa Barbara","2011",1
"Santa Clara","2011",1
"Santa Cruz","2011",1
"Shasta","2011",0
"Siskiyou","2011",0
"Solano","2011",0
"Sonoma","2011",0
"Stanislaus","2011",11
"Sutter","2011",0
"Tehama","2011",1
"Tulare","2011",11
"Ventura","2011",0
"Yolo","2011",0
"Yuba","2011",3
"Alameda","2012",2
"Amador","2012",0
"Butte","2012",10
"Calaveras","2012",0
"Colusa","2012",3
"Contra Costa","2012",4
"El Dorado","2012",0
"Fresno","2012",24
"Glenn","2012",7
"Imperial","2012",1
"Kern","2012",25
"Kings","2012",3
"Lake","2012",1
"Los Angeles","2012",163
"Madera","2012",3
"Marin","2012",0
"Mendocino","2012",0
"Merced","2012",13
"Modoc","2012",0
"Mono","2012",0
"Monterey","2012",1
"Napa","2012",0
"Nevada","2012",0
"Orange","2012",42
"Placer","2012",12
"Riverside","2012",19
"Sacramento","2012",30
"San Bernardino","2012",32
"San Diego","2012",1
"San Francisco","2012",1
"San Joaquin","2012",13
"San Luis Obispo","2012",0
"Santa Barbara","2012",0
"Santa Clara","2012",0
"Santa Cruz","2012",0
"Shasta","2012",1
"Siskiyou","2012",0
"Solano","2012",2
"Sonoma","2012",0
"Stanislaus","2012",26
"Sutter","2012",8
"Tehama","2012",4
"Tulare","2012",7
"Ventura","2012",7
"Yolo","2012",10
"Yuba","2012",4
"Alameda","2013",0
"Amador","2013",0
"Butte","2013",24
"Calaveras","2013",0
"Colusa","2013",2
"Contra Costa","2013",5
"El Dorado","2013",1
"Fresno","2013",7
"Glenn","2013",9
"Imperial","2013",0
"Kern","2013",25
"Kings","2013",1
"Lake","2013",0
"Los Angeles","2013",158
"Madera","2013",3
"Marin","2013",2
"Mendocino","2013",0
"Merced","2013",0
"Modoc","2013",0
"Mono","2013",0
"Monterey","2013",0
"Napa","2013",1
"Nevada","2013",0
"Orange","2013",9
"Placer","2013",6
"Riverside","2013",35
"Sacramento","2013",10
"San Bernardino","2013",13
"San Diego","2013",0
"San Francisco","2013",1
"San Joaquin","2013",8
"San Luis Obispo","2013",0
"Santa Barbara","2013",1
"Santa Clara","2013",2
"Santa Cruz","2013",0
"Shasta","2013",1
"Siskiyou","2013",1
"Solano","2013",1
"Sonoma","2013",0
"Stanislaus","2013",18
"Sutter","2013",10
"Tehama","2013",3
"Tulare","2013",5
"Ventura","2013",2
"Yolo","2013",6
"Yuba","2013",9
"Alameda","2014",1
"Amador","2014",0
"Butte","2014",24
"Calaveras","2014",0
"Colusa","2014",3
"Contra Costa","2014",5
"El Dorado","2014",0
"Fresno","2014",43
"Glenn","2014",10
"Imperial","2014",1
"Kern","2014",11
"Kings","2014",4
"Lake","2014",1
"Los Angeles","2014",253
"Madera","2014",3
"Marin","2014",0
"Mendocino","2014",1
"Merced","2014",1
"Modoc","2014",0
"Mono","2014",0
"Monterey","2014",0
"Napa","2014",0
"Nevada","2014",0
"Orange","2014",263
"Placer","2014",7
"Riverside","2014",14
"Sacramento","2014",10
"San Bernardino","2014",21
"San Diego","2014",11
"San Francisco","2014",0
"San Joaquin","2014",9
"San Luis Obispo","2014",0
"Santa Barbara","2014",0
"Santa Clara","2014",10
"Santa Cruz","2014",0
"Shasta","2014",2
"Siskiyou","2014",0
"Solano","2014",5
"Sonoma","2014",0
"Stanislaus","2014",33
"Sutter","2014",8
"Tehama","2014",4
"Tulare","2014",21
"Ventura","2014",1
"Yolo","2014",15
"Yuba","2014",6
"Alameda","2015",0
"Amador","2015",0
"Butte","2015",53
"Calaveras","2015",0
"Colusa","2015",1
"Contra Costa","2015",1
"El Dorado","2015",0
"Fresno","2015",8
"Glenn","2015",19
"Imperial","2015",1
"Kern","2015",11
"Kings","2015",0
"Lake","2015",2
"Los Angeles","2015",286
"Madera","2015",4
"Marin","2015",1
"Mendocino","2015",2
"Merced","2015",1
"Modoc","2015",0
"Mono","2015",0
"Monterey","2015",0
"Napa","2015",0
"Nevada","2015",2
"Orange","2015",92
"Placer","2015",0
"Riverside","2015",127
"Sacramento","2015",4
"San Bernardino","2015",53
"San Diego","2015",42
"San Francisco","2015",0
"San Joaquin","2015",2
"San Luis Obispo","2015",0
"Santa Barbara","2015",0
"Santa Clara","2015",8
"Santa Cruz","2015",0
"Shasta","2015",3
"Siskiyou","2015",1
"Solano","2015",1
"Sonoma","2015",0
"Stanislaus","2015",13
"Sutter","2015",2
"Tehama","2015",5
"Tulare","2015",13
"Ventura","2015",6
"Yolo","2015",8
"Yuba","2015",10
"Alameda","2016",0
"Amador","2016",1
"Butte","2016",21
"Calaveras","2016",0
"Colusa","2016",2
"Contra Costa","2016",4
"El Dorado","2016",1
"Fresno","2016",13
"Glenn","2016",6
"Imperial","2016",0
"Kern","2016",17
"Kings","2016",7
"Lake","2016",1
"Los Angeles","2016",149
"Madera","2016",6
"Marin","2016",0
"Mendocino","2016",0
"Merced","2016",0
"Modoc","2016",0
"Mono","2016",0
"Monterey","2016",1
"Napa","2016",0
"Nevada","2016",0
"Orange","2016",32
"Placer","2016",7
"Riverside","2016",10
"Sacramento","2016",24
"San Bernardino","2016",8
"San Diego","2016",20
"San Francisco","2016",0
"San Joaquin","2016",13
